current_date,Chiayi,YUSHAN,YONGKANG,Tainan,KAOHSIUNG,DAWU,HENGCHUN
01-24_17,12.23,-0.51,14.21,14.37,15.11,15.83,17.89
01-24_18,11.53,-0.79,13.58,13.81,14.48,15.35,17.76
01-24_19,10.84,-1.09,12.96,13.21,13.89,15.12,17.4
01-24_20,10.19,-1.03,12.39,12.66,13.38,15.32,16.84
01-24_21,9.61,-0.98,11.82,12.1,12.92,15.11,15.3
01-24_22,9.08,-0.85,11.3,11.63,12.35,15.11,15.04
01-24_23,9.23,-0.13,11.5,11.83,12.58,15.59,16.57
01-25_00,11.45,1.76,13.74,14.45,15.58,19.61,18.71
01-25_01,16.17,3.12,17.6,17.53,18.49,21.25,21.53
01-25_02,18.39,4.01,20.26,20.2,20.91,22.02,22.8
01-25_03,19.91,4.57,21.61,21.55,22.65,22.64,23.44
01-25_04,21.06,4.77,23.1,23.06,23.86,22.91,23.65
01-25_05,21.99,4.8,23.97,23.86,24.39,22.89,24.05
01-25_06,22.58,4.56,24.37,24.27,24.69,22.81,23.89
01-25_07,22.49,3.68,24.28,24.15,24.44,22.43,23.63
01-25_08,21.6,2.45,23.48,23.34,23.71,21.31,23.24
01-25_09,19.77,0.55,21.82,21.7,23.13,20.64,22.32
01-25_10,17.83,-1.99,19.97,19.91,21.71,20.21,21.16
01-25_11,16.63,-0.44,18.73,18.89,20.43,18.98,20.73
01-25_12,15.82,-0.39,17.87,17.96,19.5,18.55,20.65
01-25_13,15.09,-0.93,17.25,17.31,18.31,17.51,20.02
01-25_14,14.36,-1.34,16.68,16.8,17.44,17.11,19.7
01-25_15,13.69,-2.57,16.07,16.24,16.84,16.9,19.37
01-25_16,13.12,-3.95,15.55,15.74,16.24,17.4,18.88
01-25_17,12.77,-4.01,15.04,15.21,15.58,16.47,18.81
01-25_18,12.32,-4.09,14.6,14.79,15.17,16.23,18.69
01-25_19,11.83,-4.15,14.21,14.39,14.69,17.19,18.46
01-25_20,11.54,-4.18,13.84,14.05,14.19,17.29,17.95
01-25_21,11.29,-4.24,13.48,13.71,13.44,17.09,18.48
01-25_22,10.99,-4.52,13.13,13.35,13.11,17.02,18.06
01-25_23,10.93,-1.71,13.11,13.29,13.21,16.57,18.01
01-26_00,12.34,2.02,14.48,14.51,14.47,16.72,18.29
01-26_01,14.23,3.31,16.16,16.19,17,17.08,19.11
01-26_02,16.52,4.3,18.37,18.34,18.51,18.12,18.92
01-26_03,18.37,4.64,19.84,19.75,20.16,18.68,18.77
01-26_04,19.51,4.73,21.35,21.35,20.98,18.72,18.82
01-26_05,20.2,4.67,22.14,22.05,21.8,17.78,18.91
01-26_06,20.09,4.43,22.7,22.45,21.84,17.96,18.82
01-26_07,19.13,3.74,22.46,22.54,22.33,18.17,19.24
01-26_08,18.02,2.55,20.61,20.93,22.26,17.27,18.69
01-26_09,16.77,0.49,19.32,19.53,21.45,16.23,17.62
01-26_10,14.27,-0.77,17.46,17.58,20.55,15.11,16.81
01-26_11,12.6,-0.4,15.7,15.82,18.95,15.19,16.65
01-26_12,11.55,-0.5,14.74,15.17,17.42,15.34,16.59
01-26_13,10.81,-0.59,13.87,14.15,15.98,15.28,16.34
01-26_14,10.26,-0.62,13.25,13.74,15.15,15.17,16.29
01-26_15,9.85,-0.85,12.64,12.87,15,15.05,16.35
01-26_16,9.57,-0.92,12.02,12.22,14.22,14.89,16.19
01-26_17,9.2,-0.97,11.52,11.74,14.22,14.8,16.17
01-26_18,8.78,-1.06,11.16,11.44,13.67,14.78,16.1
01-26_19,8.51,-1.21,10.82,11,13.15,14.6,15.97
01-26_20,8.19,-1.27,10.42,10.59,12.29,14.33,15.99
01-26_21,7.81,-1.42,10,10.16,11.85,14.08,15.74
01-26_22,7.32,-1.54,9.38,9.8,11.55,13.14,15.57
01-26_23,7.41,-0.79,9.7,9.91,11.27,13.78,15.64
01-27_00,8.79,1.2,11.19,11.37,12.72,16.4,16.85
01-27_01,11.88,2.35,13.76,13.89,15.25,17.83,18.35
01-27_02,14.4,3.27,16.62,16.41,17.48,18.84,19.57
01-27_03,16.35,3.97,18.34,18.23,19.09,19.45,20.17
01-27_04,17.73,4.26,19.71,19.74,19.77,19.87,20.82
01-27_05,19.06,4.31,20.73,20.77,20.21,19.74,20.95
01-27_06,19.81,4.05,21.57,21.61,20.37,19.15,20.83
01-27_07,20.18,3.34,21.83,21.7,20.59,18.84,20.39
01-27_08,19.77,2.22,20.88,20.81,20.68,18.35,20.05
01-27_09,18.03,0.54,19.89,19.93,20.42,17.75,19.31
01-27_10,16.34,-0.69,18.39,18.52,20.13,17.3,18.38
01-27_11,15.18,-0.31,17.4,17.65,19.92,16.59,18.22
01-27_12,14.46,-0.51,16.68,16.81,18.78,15.23,18.09
01-27_13,14.07,-0.66,16.12,16.28,17.64,14.81,17.86
01-27_14,13.52,-0.83,15.7,15.82,16.71,14.57,17.41
01-27_15,12.85,-0.99,15.35,15.55,16.22,14.36,17.14
01-27_16,12.13,-1.31,14.69,15.03,15.48,13.99,16.96
01-27_17,11.49,-1.64,13.78,13.93,14.91,13.6,16.95
01-27_18,10.86,-1.94,13.15,13.35,14.31,13.17,16.78
01-27_19,10.22,-4.38,12.56,12.78,13.82,13.05,16.38
01-27_20,9.59,-4.41,12.02,12.3,13.3,12.92,16.22
01-27_21,9.03,-4.42,11.55,11.85,12.82,12.81,14.52
01-27_22,8.51,-4.45,11.07,11.41,12.4,12.75,13.81
01-27_23,8.73,-2.36,11.28,11.56,12.67,13.82,14.58
